;Оригинал;Перевод на казахский;Перевод на русский
47;былай өткізе бер десеңіз үйде артық бар соны беріп жіберейін баламнан 5 клетка 5 жазу;Былай өткізе бер десеңіз, үйде артық бар. Соны беріп жіберейін баламнан, 5 торлы, 5 жазу.;Если вы хотите провести его так, в доме есть лишнее. Отдам от сына, 5 решеток, 5 надписей.
48;бар болса биз барамыз,  как раз жумыс жакта;Бар болса біз барамыз, осы жұмыс жақта.;Если есть,  мы пойдем, как раз рядом с работой.
49;"[Название компании] продленкасы 75.000 тг
 тамак киреди,уакыты 7ге дейн.Бизден кеминде 3 адам жиналса развозка  болады екен . Келисетин ата аналар болса";[Компания аты] ұзарту сабағы 75000 теңге, тамақ кіреді, уақыты 7-ге дейін. Бізден кемінде 3 адам жиналса, үйге жеткізу болады екен. Келісетін ата-аналар болса.;[Название компании] продленка составляет 75 000 тенге, питание включено, время до 7. Если нас соберется хотя бы втроем, то может быть развозка. Если есть родители, которые согласны.
50;садик орысша битирдик школ казакша буйырса  уйде казакша вроде 2тилди жаксы тусинеди улым.;Балабақшаны орысша бітірдік, мектеп қазақша, бұйырса. Үйде қазақша, 2 тілді жақсы түсінетін сиықты ұлым.;Мы закончили детский сад на русском языке, школу на казахском, если Бог даст. Дома говорит на казахском языке, вроде мой сын хорошо понимает 2 языка.
51;если русскоязычные казакша киын боладыау;Егер орыс тілділер болса, қазақша қиын болады-ау.;Если русскоязычные, то по-казахски будет сложно.
52;Гипоаллергенная сок болмаса банан ! Алармыз;Гипоаллергендік шырын, болмаса банан! Алармыз.;Гипоаллергенный сок или банан! Берем.
53;Скинула ссылки, 6 ата ана сурап жаткансоң группага жибердим;Сілтемелерді жібердім, 6 ата-ана сұрап жатырған соң, топқа жібердім.;Я отправила ссылки, после того как 6 родителей попросили, я отправила их в группу.
54;Мына екі дәптерді алмай тұра тұрыңыздар,  сентябрде шыққанда айтамын .;Мына екі дәптерді алмай тұра тұрыңыздар,  қыркүйекте шыққанда айтамын.;Пока не берите эти две тетради, я вам скажу, когда выйдете в сентябре.
55;олар алып кетип, тамагын берип, сабагын окытып беретин. осы жылы бала санына карап отыр. орыс топ болады, казак тобы белгисиз деген. класс называется.;Олар алып кетіп, тамағын беріп, сабағын оқытып беретін. Осы жылы бала санына қарап отыр. Орыс топ болады, қазақ тобы белгісіз деген. Сынып деп аталады.;Они брали, давали еду и преподавали уроки. В этом году смотрит на количество детей. Русская группа будет, казахская группа-неизвестно. Называется классом.
56;ен жаман альбом в натуре пацаны;Шынында да ең жаман альбом, жігіттер.;Худший альбом в натуре, пацаны.
57;братан негізі сендер скетч түсірсеңдер ваще тема болатын еді;Аға, негізі сендер скетч түсірсеңдер тіптен керемет болатын еді.;Брат, в принципе, было бы здорово, если бы вы снимали скетч.
58;Дайнерис адресі барма? Дракон керек ед арендаға);Дайнеристің мекен-жайы бар ма? Аудаһар керек еді жалға.;Есть адрес Дейенерис? Нужен дракон в аренду.
59;Бүгінгі немереоеріммен өткен керемет естелікке толы күннен лентамда естелік болып тұра берсін! 6-7 сағат яхтамен теңіздерге шолу жасап, арасында біраз парашютпен катерді де, водный транспортты да, квадроцикль бар ма бәрін жан-жақтан тапсырыспен шақыртып, мініп те ұшып та үлгердік. Бәрі балалардың көңілін көтеру үшін ғой.;Бүгінгі немерелеріммен өткен керемет естелікке толы күннен таспамда естелік болып тұра берсін! 6-7 сағат қайықпен теңіздерге шолу жасап, арасында біраз парашютпен кемені де, су транспорттын да, квадроцикль бар ма бәрін жан-жақтан тапсырыспен шақыртып, мініп те ұшып та үлгердік. Бәрі балалардың көңілін көтеру үшін ғой.;Пусть сегодняшний день, полный прекрасных воспоминаний с моими внуками, останется воспоминанием в моей ленте! Мы потратили 6-7 часов на исследование морей на яхте, а между тем успели отовсюду заказать лодку, водный транспорт и квадроцикл, покататься и полетать. Все для развлечения детей.
60;Неге перевод жасап айттыңыз?;Неге аударма жасап айттыңыз?;Почему вы сделали перевод и сказали?
61;Спасательный жилет кайда;Құтқарғыш жилеті кайда?;Где спасательный жилет?
62;Тәте красавицасыз ғой;Тәте, сұлусыз ғой.;Тетя, вы красиваца.
63;Аппетитно көрініп тұр;Дәмді көрініп тұр.;Это выглядит аппетитно.
64;ютубта бар едігой тоже сіздің рецепт;ютубта бар еді гой және де сіздің рецепт.;Ваш рецепт также доступен на ютубе.
65;СЧЕТЫҢЫЗ АРЕСТТЕ МЕ? СІЗГЕ КӨМЕКТЕСЕ АЛАМЫН .(ҚОЛАЙЛЫ БАҒА , ТЕЗ УАҚЫТ ІШІНДЕ) СЧЕТЫҢЫЗДЫ АРЕСТТЕН ШЕШІМІН. ЖЕКЕМЕ ЖАЗЫҢЫЗДАР;Шотыңызға тыйым салынған ба? Сізге көмектесе аламын. (қолайлы баға, тез уақыт ішінде) Шотыңыздан тыйымды шешемін. Жекеме жазыңыздар.;Ваш счет в аресте? Я могу помочь вам. (доступная цена, в короткие сроки) Сниму арест с вашего счета. Напишите мне лично.
66;Мынадай кухняда, мынандай ыдыстармен тамақ істеген одно удовольствие шығар;Мынадай асүйде, мынандай ыдыстармен тамақ істеген бір ғанибет шығар.;Наверное готовить на такой кухне, с такой посудой одно удовольствие.
67;"Надо пахать осылай өмір сүру үшін
Мотивация бересіз әдемі үніңізбен, әдемі даусыңызбен! Спакойствие сезіледі блогыңызды, статусыңызды қарағанда";Осылай өмір сүру үшін көп жұмыс жасау керек. Уәждеме бересіз әдемі үніңізбен, әдемі даусыңызбен! Тыныштық сезіледі блогыңызды, күйіңізді қарағанда.;Чтобы так жить, надо пахать. Вы дарите мотивацию своим прекрасным тоном, своим прекрасным голосом! Я чувствую себя спокойно, глядя на твой блог и статус.
68;Себебі сіздің ю туб каналыңыздан көп сабақ аламын.Эстктиксіз ғой.Ал инстаңыздан мотивация аламын,пряям кушти ғой Дами беріңіз сізге сәттілік тілеймін;Себебі сіздің ютуб каналыңыздан көп сабақ аламын. Эстетиксіз ғой. Ал инстаграмыңыздан уәждеме аламын, өте кушти ғой. Дами беріңіз, сізге сәттілік тілеймін.;Потому что я многому учусь на вашем ютуб канале. Вы эстетик. А мотивацию получаю от вашего Инстаграма, это хорошо. Продолжайте расти, желаю вам успехов.
69;точно базарға барсам көйлектер бәрі осындай;Дәл базарға барсам, көйлектер бәрі осындай.;Когда я иду на рынок, все платья такие.
70;Душқа күніне 3 рет кірем ғо, невозможно ғо ;Себезгіге күніне 3 рет кіремін ғой, мүмкін емес қой. ;Я принимаю душ 3 раза в день, это невозможно.
71;Бұлбұл бәрі бітті деп еді Серік измена жасады деп, қайтадан қосылған ба, бұларға сенім жоқ екен;Бұлбұл бәрі бітті деп еді, Серік опасыздық жасады деп, қайтадан қосылған ба, бұларға сенім жоқ екен.;Булбул сказала, что все кончено, что Серик изменял. Они что снова вместе, доверия к ним нет.
72;[Название компании] - максималды бекіту + прилегание 12 сағатқа дейін тұрақты бекітуді қамтамасыз етеді, тағам бөлшектеріне тіс протездерінің астына түсуге жол бермейді және тамақтың дәмін мүлдем өзгертпейді!;[Компания аты] - максималды бекіту және жанасу 12 сағатқа дейін тұрақты бекітуді қамтамасыз етеді, тағам бөлшектеріне тіс протездерінің астына түсуге жол бермейді және тамақтың дәмін мүлдем өзгертпейді!;[Название компании] - максимальная фиксация и прилегание обеспечивает постоянную фиксацию до 12 часов, не позволяет частицам пищи попадать под протезы и совершенно не меняет вкус еды!
73;Айына 10-15кг ға дейін арықтау. Фигурная болғың келсе маған кел, Мен көмектесемін;Айына 10-15 килограмға дейін арықтау. Келісті болғың келсе, маған кел, мен көмектесемін.;Снижение веса до 10-15 килограмм в месяц. Если хочешь стать фигурной, приходи ко мне, я помогу.
74;Қазір женственная көрінесін;Қазір нәзік көрінесің.;Теперь выглядишь женственно.
75;Барлық қыз ажырасамын деп тұрмысқа шықпайды, Шынардың ішінде өксік толып тұр, обидноғой, сеніп тұрмысқа шығасың, но баламен жалғыз қаласың;Барлық қыз ажырасамын деп тұрмысқа шықпайды, Шынардың ішінде өксік толып тұр, ауыр ғой, сеніп тұрмысқа шығасың, бірақ баламен жалғыз қаласың.;Не все девушки выходят замуж, потому что хотят развестись, Шынар полна печали, обидно, выходишь замуж веря, но остаешься одна с ребенком.
76;.Еркектер всё сондай кеширген сайын билгенин истеп или жарты жолдан тастап кете салады;Еркектер сондай кешірген сайын білгенін істеп немесе жарты жолдан тастап кете салады.;Каждый раз, когда мужчины прощают, они либо делают то, что знают, либо уходят на полпути.
77;Даусы қандай жағымды. Тыңдай бердің келеді. Прям успокаивает человека;Даусы қандай жағымды. Тыңдай бергің келеді. Адамды шынымен тыныштандырады.;Какой приятный голос. Хочется слушать. Прямо успокаивает человека.
78;Молодец, сынаққа сынбай тек алға жүрдіңіз. Алла еңбекке қарап нәтижесін берген шығар! 100 жасаңыз, ауырмаңыз ешқашан!;Жарайсың, сынаққа сынбай, тек алға жүрдіңіз. Алла еңбекке қарап нәтижесін берген шығар! 100 жасаңыз, ауырмаңыз ешқашан!;Молодец, ты не провалил тест, ты просто пошел вперед. Возможно, Бог дал результат упорного труда! Сделайте 100, никогда не болейте!
79;я помню [имя] комектескен болатын осы кзга;Менің есімде, [есімі] көмектескен болатын осы қызға.;Я помню, [имя] помогал этой девочке.
80;Үйде босқа жатқан кимейтін киімдеріңізді, кез-келген затты біздің парақшада сата аласыз, ПОДПИСАТЬСЯ етіңіз және дайректке жазыңыз;Үйде босқа жатқан, кимейтін киімдеріңізді, кез-келген затты біздің парақшада сата аласыз, парақшаға жазылыңыз және тікеге жазыңыз.;Вы можете продать свою неиспользованную, неношеную одежду, любую вещь на нашей странице, подпишитесь и напишите напрямую.
81;Коз теймесин енди Казактын кози тейсе Кайтып аурасын так что жырвандамай фотага тусе бермей Байга шык;Көз тимесін, енді Қазақтың көзі тисе қайтып аурасың, сондықтан ырбаңдамай суретке түсе бермей, байга шық.;Пусть не сглазит, теперь если вас сглазил казах, как вы заболеете, так что не фотографируйтесь и выходите замуж.
82;2000 шы жылдары принципиально бәрі орысша сайраған жылдары Суперстардан бастап тек қазақша сөйлейтін, Қазақ тілінің деңгейін абыройын көтеруге ат салысқан журналист.;2000-шы жылдары түбегейлі бәрі орысша сайраған жылдары Суперстардан бастап тек қазақша сөйлейтін, Қазақ тілінің деңгейін, абыройын көтеруге ат салысқан журналист.;Он - журналист, который в 2000-е, когда почти все пели по-русски,  говорил только по-казахски, начиная с Суперстарса, пытавшегося поднять уровень и честь казахского языка.
83;Қазір балаларыңыз немерелеріңіз қазақша мультик көруіне өте үлкен үлесін қосқан қызметкер. Жеке өмірін семьясын няғыласыңдар? қазаққа, халыққа,тілге және қоғамға жалпы атқарған еңбегін ескерейік бірбірімізді шұқи бермей қоғамды ұрпақты түзейік!;Қазір балаларыңыз, немерелеріңіз қазақша мультфильм көруіне өте үлкен үлесін қосқан қызметкер. Жеке өмірін, отбасын не қыласыңдар? Қазаққа, халыққа, тілге және қоғамға жалпы атқарған еңбегін ескерейік, бір-бірімізді шұқи бермей. Қоғамды, ұрпақты түзейік!;Это сотрудник, который внес большой вклад в просмотр казахских мультфильмов вашими детьми и внуками. Какое вам дело до его личной жизнью и семьей? Давайте учитывать проделанную работу перед казахским народом, языком и обществом в целом, не оскорбляя друг друга. Давайте построим общество и поколение!
84;Ой тегі, любой адам солай істейді ғой, не болды сонша?!;Ой тегі, кез келген адам солай істейді ғой, не болды сонша?!;Да ладно, все так делают, что случилось?!
85;сен дана болмайак койш откенге салауат енди тыныш жур тагыда бир депутаттын семьясын шулатпай жайдан жай депутат болмаган шыгарсын берекет тап тыныш жур енди балашаганды ойлап;Сен дана болмай-ақ қойшы. Өткенге салауат, енді тыныш жүр, тағы да бір депутаттың отбасын шулатпай, жайдан жай депутат болмаған шығарсың, берекет тап, тыныш жүр енді бала-шағаңды ойлап.;Не будь мудрым. Пусть прошлое покойется с миром, не тревожь семью депутата, возможно, ты и не стал депутатом просто так, найди благословение, ходи с миром, подумай о своих детях.
86;Осы мен тусинбеймын, не ушин осы катынды корсете береды? Биздын елге не пайда акелды? Улги болатындай не истеды? Журналист дейн десем, сондай бир керемет пайдалы передачаны жургизды деп айталмаймын. Профи ретинде байкамаптым...;Осы мен түсинбеймін, не үшін осы қатынды көрсете береді? Біздің елге не пайда әкелді? Үлгі болатындай не істеді? Журналист дейін десем, сондай бір керемет пайдалы бағдарламаны жүргізді деп айта алмаймын. Кәсіби маман ретинді байқамаппын.;Я не понимаю, зачем показывает эту женщину? Какую пользу принесла нашей стране? Что она сделала, чтобы стать образцом для подражания? Я не могу сказать, что она вела такую ​​замечательную и полезную передачу как журналист. Как профессионал не замечал.
